Date,Sample Description,Group #,Sample #,Sample Status,Analysis Name,Comment,Result,Units
2026-09-15 15:45,MARS 2 (berries),2333379,609150514,Reported,L-malic acid,,2.31,g/L
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.1,,0,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.2,,0,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.3,,2,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.4,,1,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.6,,11,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.7,,17,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.8,,19,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 0.9,,16,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.0,,7,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.1,,10,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.2,,5,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.3,,5,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.4,,2,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.5,,2,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.6,,0,""
2026-09-15 13:10,MARS 2 (berries),2333379,609150514,Reported,Dyostem Histogram : 1.7,,0,""
2026-09-15 13:46,MARS 2 (berries),2333379,609150514,Reported,berry weight,,1.04,g/berry
2026-09-15 15:45,MARS 2 (berries),2333379,609150514,Reported,pH,,3.37,""
2026-09-15 16:23,MARS 2 (berries),2333379,609150514,Reported,sugar per berry (by volume),,200,mg/berry
2026-09-15 15:45,MARS 2 (berries),2333379,609150514,Reported,titratable acidity,,7.5,g/L
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.1,,0,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.2,,1,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.3,,1,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.4,,3,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.5,,6,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.6,,11,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.7,,15,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.8,,18,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 0.9,,14,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.0,,12,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.1,,7,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.2,,7,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.3,,1,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.4,,2,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.5,,1,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.6,,0,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.7,,0,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.8,,0,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 1.9,,0,""
2026-09-15 13:16,MARS 3 (berries),2333379,609150515,Reported,Dyostem Histogram : 2.0,,0,""
2026-09-15 15:45,MARS 3 (berries),2333379,609150515,Reported,L-malic acid,,2.29,g/L
2026-09-15 15:45,MARS 3 (berries),2333379,609150515,Reported,brix,,24.5,degrees
