metric_key,sensor_id,block_id,tank_id,recorded_at,value,source_system,vintage
air_temp,WS-01,,,2023-04-01 00:00:00,45.01,weather_station,2023
humidity,WS-01,,,2023-04-01 00:00:00,83.12,weather_station,2023
wind_speed,WS-01,,,2023-04-01 00:00:00,2.83,weather_station,2023
wind_dir,WS-01,,,2023-04-01 00:00:00,273,weather_station,2023
solar,WS-01,,,2023-04-01 00:00:00,0,weather_station,2023
uv,WS-01,,,2023-04-01 00:00:00,0.0,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 00:00:00,29.78,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 00:00:00,51.88,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 00:00:00,25.78,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 00:00:00,52.08,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 00:00:00,27.85,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 00:00:00,51.22,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 00:00:00,55.14,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 00:00:00,71.47,hvac,2023
air_temp,WS-01,,,2023-04-01 03:00:00,40.02,weather_station,2023
humidity,WS-01,,,2023-04-01 03:00:00,90.72,weather_station,2023
wind_speed,WS-01,,,2023-04-01 03:00:00,1.89,weather_station,2023
wind_dir,WS-01,,,2023-04-01 03:00:00,271,weather_station,2023
solar,WS-01,,,2023-04-01 03:00:00,0,weather_station,2023
uv,WS-01,,,2023-04-01 03:00:00,0.0,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 03:00:00,30.39,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 03:00:00,51.28,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 03:00:00,26.06,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 03:00:00,51.63,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 03:00:00,28.22,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 03:00:00,50.69,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 03:00:00,55.0,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 03:00:00,70.43,hvac,2023
irrigation_volume,FM-01,B1,,2023-04-01 05:00:00,0,flow_meter,2023
irrigation_volume,FM-02,B2,,2023-04-01 05:00:00,0,flow_meter,2023
irrigation_volume,FM-03,B3,,2023-04-01 05:00:00,0,flow_meter,2023
air_temp,WS-01,,,2023-04-01 06:00:00,40.99,weather_station,2023
humidity,WS-01,,,2023-04-01 06:00:00,90.78,weather_station,2023
wind_speed,WS-01,,,2023-04-01 06:00:00,4.84,weather_station,2023
wind_dir,WS-01,,,2023-04-01 06:00:00,267,weather_station,2023
solar,WS-01,,,2023-04-01 06:00:00,0,weather_station,2023
uv,WS-01,,,2023-04-01 06:00:00,0.0,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 06:00:00,31.03,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 06:00:00,51.66,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 06:00:00,25.67,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 06:00:00,52.52,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 06:00:00,28.19,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 06:00:00,51.17,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 06:00:00,55.51,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 06:00:00,69.3,hvac,2023
precipitation,WS-01,,,2023-04-01 06:00:00,0.0,weather_station,2023
air_temp,WS-01,,,2023-04-01 09:00:00,48.99,weather_station,2023
humidity,WS-01,,,2023-04-01 09:00:00,80.27,weather_station,2023
wind_speed,WS-01,,,2023-04-01 09:00:00,8.28,weather_station,2023
wind_dir,WS-01,,,2023-04-01 09:00:00,263,weather_station,2023
solar,WS-01,,,2023-04-01 09:00:00,440,weather_station,2023
uv,WS-01,,,2023-04-01 09:00:00,5.7,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 09:00:00,30.62,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 09:00:00,52.8,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 09:00:00,25.09,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 09:00:00,53.72,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 09:00:00,27.67,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 09:00:00,52.29,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 09:00:00,56.07,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 09:00:00,70.11,hvac,2023
air_temp,WS-01,,,2023-04-01 12:00:00,59.85,weather_station,2023
humidity,WS-01,,,2023-04-01 12:00:00,64.69,weather_station,2023
wind_speed,WS-01,,,2023-04-01 12:00:00,10.74,weather_station,2023
wind_dir,WS-01,,,2023-04-01 12:00:00,259,weather_station,2023
solar,WS-01,,,2023-04-01 12:00:00,738,weather_station,2023
uv,WS-01,,,2023-04-01 12:00:00,9.6,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 12:00:00,29.23,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 12:00:00,54.56,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 12:00:00,25.41,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 12:00:00,54.36,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 12:00:00,27.44,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 12:00:00,53.51,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 12:00:00,56.22,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 12:00:00,71.42,hvac,2023
air_temp,WS-01,,,2023-04-01 15:00:00,65.62,weather_station,2023
humidity,WS-01,,,2023-04-01 15:00:00,56.26,weather_station,2023
wind_speed,WS-01,,,2023-04-01 15:00:00,11.84,weather_station,2023
wind_dir,WS-01,,,2023-04-01 15:00:00,219,weather_station,2023
solar,WS-01,,,2023-04-01 15:00:00,554,weather_station,2023
uv,WS-01,,,2023-04-01 15:00:00,6.9,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 15:00:00,28.38,soil_probe,2023
soil_temp,SP-01,B1,,2023-04-01 15:00:00,55.56,soil_probe,2023
soil_moisture,SP-02,B2,,2023-04-01 15:00:00,25.78,soil_probe,2023
soil_temp,SP-02,B2,,2023-04-01 15:00:00,54.57,soil_probe,2023
soil_moisture,SP-03,B3,,2023-04-01 15:00:00,27.41,soil_probe,2023
soil_temp,SP-03,B3,,2023-04-01 15:00:00,54.12,soil_probe,2023
cellar_temp,CELLAR-A,,,2023-04-01 15:00:00,56.23,hvac,2023
cellar_rh,CELLAR-A,,,2023-04-01 15:00:00,72.03,hvac,2023
air_temp,WS-01,,,2023-04-01 18:00:00,62.74,weather_station,2023
humidity,WS-01,,,2023-04-01 18:00:00,60.42,weather_station,2023
wind_speed,WS-01,,,2023-04-01 18:00:00,10.12,weather_station,2023
wind_dir,WS-01,,,2023-04-01 18:00:00,161,weather_station,2023
solar,WS-01,,,2023-04-01 18:00:00,79,weather_station,2023
uv,WS-01,,,2023-04-01 18:00:00,0.8,weather_station,2023
soil_moisture,SP-01,B1,,2023-04-01 18:00:00,28.48,soil_probe,2023
