work_date,block_id,work_type_raw,hours,cost_usd,crew,vintage,source_system
2022-01-03,B1,pruning,6.6,290.4,Crew A,2022,excel
2022-01-03,B1,prune,6.4,281.6,Crew B,2022,excel
2022-01-03,B2,pruning,6.8,299.2,Crew A,2022,excel
2022-01-03,B3,pruning,7.7,338.8,Crew A,2022,excel
2022-01-08,B1,prune,7.3,321.2,Crew A,2022,excel
2022-01-08,B1,pruning,6.6,290.4,Crew B,2022,excel
2022-01-08,B2,prune,7.5,330.0,Crew A,2022,excel
2022-01-13,B1,prune,8.6,378.4,Contract - Silverado,2022,excel
2022-01-13,B1,pruning,7.1,312.4,Crew A,2022,excel
2022-01-13,B2,prune,7.9,347.6,Contract - Silverado,2022,excel
2022-01-13,B3,prune,8.5,374.0,Contract - Silverado,2022,excel
2022-01-18,B1,pruning,8.3,365.2,Contract - Silverado,2022,excel
2022-01-18,B2,pruning,6.9,303.6,Contract - Silverado,2022,excel
2022-01-23,B1,pruning,6.8,299.2,Crew B,2022,excel
2022-01-23,B1,prune,8.2,360.8,Contract - Silverado,2022,excel
2022-01-23,B2,pruning,7.0,308.0,Crew B,2022,excel
2022-01-23,B3,pruning,9.7,426.8,Crew B,2022,excel
2022-02-03,B1,Pruning,6.8,299.2,Contract - Silverado,2022,excel
2022-02-03,B1,winter pruning,6.6,290.4,Crew A,2022,excel
2022-02-03,B2,Pruning,8.4,369.6,Contract - Silverado,2022,excel
2022-02-03,B3,Pruning,9.1,400.4,Contract - Silverado,2022,excel
2022-02-08,B1,Pruning,8.1,356.4,Crew B,2022,excel
2022-02-08,B1,winter pruning,6.3,277.2,Contract - Silverado,2022,excel
2022-02-08,B2,Pruning,7.8,343.2,Crew B,2022,excel
2022-02-08,B3,Pruning,9.1,400.4,Crew B,2022,excel
2022-02-13,B1,winter pruning,6.5,286.0,Crew B,2022,excel
2022-02-13,B1,Pruning,7.1,312.4,Contract - Silverado,2022,excel
2022-02-13,B2,winter pruning,7.6,334.4,Crew B,2022,excel
2022-02-18,B1,winter pruning,6.8,299.2,Crew A,2022,excel
2022-02-18,B1,Pruning,8.4,369.6,Crew B,2022,excel
2022-02-18,B2,winter pruning,8.1,356.4,Crew A,2022,excel
2022-02-18,B3,winter pruning,7.2,316.8,Crew A,2022,excel
2022-02-23,B1,Pruning,8.1,356.4,Crew A,2022,excel
2022-02-23,B2,Pruning,7.0,308.0,Crew A,2022,excel
2022-03-03,B1,spray,6.9,358.8,Crew A,2022,excel
2022-03-03,B2,spray,12.9,670.8,Crew A,2022,excel
2022-03-03,B3,spray,12.1,629.2,Crew A,2022,excel
2022-04-03,B1,suckering,9.0,378.0,Crew A,2022,excel
2022-04-03,B1,shoot thinning,8.6,361.2,Crew B,2022,excel
2022-04-03,B2,suckering,9.1,382.2,Crew A,2022,excel
2022-04-03,B3,suckering,8.1,340.2,Crew A,2022,excel
2022-04-08,B1,suckering,8.5,357.0,Crew A,2022,excel
2022-04-08,B1,spraying,7.5,390.0,Crew B,2022,excel
2022-04-08,B2,suckering,6.9,289.8,Crew A,2022,excel
2022-04-08,B2,spraying,10.2,530.4,Crew B,2022,excel
2022-04-13,B1,sucker,8.5,357.0,Contract - Silverado,2022,excel
2022-04-13,B2,sucker,7.5,315.0,Contract - Silverado,2022,excel
2022-04-13,B3,sucker,8.2,344.4,Contract - Silverado,2022,excel
2022-04-18,B1,sucker,7.7,323.4,Contract - Silverado,2022,excel
2022-04-23,B1,shoot thinning,8.9,373.8,Crew B,2022,excel
2022-04-23,B2,shoot thinning,6.8,285.6,Crew B,2022,excel
2022-05-03,B1,sucker,8.8,369.6,Contract - Silverado,2022,excel
2022-05-03,B1,canopy mgmt,8.5,357.0,Crew A,2022,excel
2022-05-03,B1,wire lift,7.4,310.8,Crew A,2022,excel
2022-05-03,B1,irrigation,9.1,436.8,Crew A,2022,excel
2022-05-03,B2,sucker,7.8,327.6,Contract - Silverado,2022,excel
2022-05-03,B2,canopy mgmt,8.6,361.2,Crew A,2022,excel
2022-05-03,B2,irrigation,7.6,364.8,Crew A,2022,excel
2022-05-03,B3,canopy mgmt,9.8,411.6,Crew A,2022,excel
2022-05-03,B3,irrigation,7.2,345.6,Crew A,2022,excel
2022-05-08,B1,shoot thinning,7.9,331.8,Crew B,2022,excel
2022-05-08,B1,hedging,8.0,336.0,Crew A,2022,excel
2022-05-08,B2,shoot thinning,9.5,399.0,Crew B,2022,excel
2022-05-08,B2,hedging,8.4,352.8,Crew A,2022,excel
2022-05-08,B3,shoot thinning,7.6,319.2,Crew B,2022,excel
2022-05-13,B1,shoot thinning,7.1,298.2,Crew B,2022,excel
2022-05-13,B1,canopy mgmt,8.8,369.6,Crew A,2022,excel
2022-05-13,B1,sulfur spray,9.0,468.0,Contract - Silverado,2022,excel
2022-05-18,B1,suckering,8.1,340.2,Crew A,2022,excel
2022-05-18,B1,wire lift,9.0,378.0,Crew A,2022,excel
2022-05-18,B2,suckering,6.3,264.6,Crew A,2022,excel
2022-05-18,B2,wire lift,8.4,352.8,Crew A,2022,excel
2022-05-18,B3,suckering,8.4,352.8,Crew A,2022,excel
2022-05-18,B3,wire lift,7.4,310.8,Crew A,2022,excel
2022-05-23,B1,suckering,6.2,260.4,Crew A,2022,excel
2022-05-23,B1,canopy management,6.8,285.6,Crew A,2022,excel
2022-05-23,B1,irrigation,9.6,460.8,Crew B,2022,excel
2022-05-23,B2,canopy management,6.6,277.2,Crew A,2022,excel
2022-06-03,B1,hedging,7.3,306.6,Crew B,2022,excel
2022-06-03,B1,leafing,8.2,344.4,Crew A,2022,excel
2022-06-03,B2,hedging,6.3,264.6,Crew B,2022,excel
2022-06-03,B2,leafing,7.9,331.8,Crew A,2022,excel
2022-06-03,B3,leafing,10.6,445.2,Crew A,2022,excel
2022-06-08,B1,canopy management,8.8,369.6,Crew B,2022,excel
2022-06-08,B1,canopy mgmt,9.0,378.0,Crew B,2022,excel
2022-06-08,B1,leafing,6.9,289.8,Crew A,2022,excel
2022-06-08,B1,irrigate,9.0,432.0,Crew B,2022,excel
2022-06-08,B2,canopy management,6.7,281.4,Crew B,2022,excel
2022-06-08,B2,irrigate,10.3,494.4,Crew B,2022,excel
2022-06-08,B3,canopy management,7.5,315.0,Crew B,2022,excel
2022-06-08,B3,irrigate,7.5,360.0,Crew B,2022,excel
2022-06-13,B1,wire lift,6.8,285.6,Crew B,2022,excel
2022-06-13,B1,shoot positioning,7.9,331.8,Contract - Silverado,2022,excel
2022-06-13,B2,wire lift,8.1,340.2,Crew B,2022,excel
2022-06-13,B2,shoot positioning,9.6,403.2,Contract - Silverado,2022,excel
2022-06-13,B3,shoot positioning,9.7,407.4,Contract - Silverado,2022,excel
2022-06-18,B1,canopy management,8.5,357.0,Crew B,2022,excel
2022-06-18,B1,shoot positioning,7.6,319.2,Contract - Silverado,2022,excel
2022-06-18,B1,fungicide app,8.8,457.6,Crew A,2022,excel
2022-06-23,B1,canopy mgmt,7.5,315.0,Crew B,2022,excel
2022-06-23,B1,leaf pull,7.3,306.6,Crew B,2022,excel
2022-06-23,B2,canopy mgmt,6.8,285.6,Crew B,2022,excel
2022-06-23,B2,leaf pull,8.5,357.0,Crew B,2022,excel
2022-06-23,B3,canopy mgmt,10.0,420.0,Crew B,2022,excel
2022-07-03,B1,canopy management,6.1,256.2,Contract - Silverado,2022,excel
2022-07-03,B1,shoot positioning,8.9,373.8,Contract - Silverado,2022,excel
2022-07-03,B2,canopy management,8.0,336.0,Contract - Silverado,2022,excel
2022-07-08,B1,wire lift,6.8,285.6,Contract - Silverado,2022,excel
2022-07-08,B1,leaf pull,8.9,373.8,Crew B,2022,excel
2022-07-08,B2,leaf pull,9.6,403.2,Crew B,2022,excel
2022-07-08,B3,leaf pull,11.0,462.0,Crew B,2022,excel
2022-07-13,B1,hedging,7.9,331.8,Contract - Silverado,2022,excel
2022-07-13,B1,canopy management,7.7,323.4,Contract - Silverado,2022,excel
2022-07-13,B1,leaf pull,6.8,285.6,Crew B,2022,excel
2022-07-13,B1,drip repair,8.7,417.6,Contract - Silverado,2022,excel
2022-07-13,B2,hedging,7.3,306.6,Contract - Silverado,2022,excel
2022-07-13,B2,drip repair,7.7,369.6,Contract - Silverado,2022,excel
2022-07-13,B3,hedging,10.0,420.0,Contract - Silverado,2022,excel
2022-07-18,B1,canopy mgmt,8.9,373.8,Contract - Silverado,2022,excel
2022-07-18,B1,leafing,6.6,277.2,Crew A,2022,excel
2022-07-18,B2,canopy mgmt,6.4,268.8,Contract - Silverado,2022,excel
2022-07-18,B2,leafing,8.5,357.0,Crew A,2022,excel
2022-07-23,B1,hedging,8.1,340.2,Contract - Silverado,2022,excel
2022-07-23,B1,leafing,6.5,273.0,Crew A,2022,excel
2022-08-03,B1,harvest,8.1,445.5,Crew A,2022,excel
2022-08-03,B1,picking,8.3,456.5,Crew B,2022,excel
2022-08-03,B2,harvest,7.7,423.5,Crew A,2022,excel
2022-08-03,B3,harvest,9.2,506.0,Crew A,2022,excel
2022-08-08,B1,picking,8.9,489.5,Crew A,2022,excel
2022-08-08,B2,picking,7.0,385.0,Crew A,2022,excel
2022-08-13,B1,picking,6.8,374.0,Contract - Silverado,2022,excel
2022-08-13,B1,harvest,6.3,346.5,Crew A,2022,excel
2022-08-13,B2,picking,8.7,478.5,Contract - Silverado,2022,excel
2022-08-13,B3,picking,9.7,533.5,Contract - Silverado,2022,excel
2022-08-18,B1,upkeep,8.4,403.2,Crew A,2022,excel
