raw_name,canonical_name
Harvest,Harvest
Pruning,Pruning
canopy management,Canopy management
canopy mgmt,Canopy management
drip repair,Irrigation & upkeep
fungicide app,Spraying
hand harvest,Harvest
harvest,Harvest
hedging,Canopy management
irrigate,Irrigation & upkeep
irrigation,Irrigation & upkeep
leaf pull,Leafing & shoot positioning
leafing,Leafing & shoot positioning
picking,Harvest
prune,Pruning
pruning,Pruning
shoot positioning,Leafing & shoot positioning
shoot thinning,Suckering & thinning
spray,Spraying
spraying,Spraying
sucker,Suckering & thinning
suckering,Suckering & thinning
sulfur spray,Spraying
upkeep,Irrigation & upkeep
winter pruning,Pruning
wire lift,Canopy management
